Title,Author,Rating,Number of Reviews,Publication Date,Format,Amazon Link,Category,Description,Players Mentioned,Teams Mentioned,Topics
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.6,3500+,October 27 2009,Paperback/Hardcover/Kindle,https://www.amazon.com/Book-Basketball-NBA-According-Sports/dp/0345520106,NBA History,#1 NEW YORK TIMES BESTSELLER - The wildly opinionated thoroughly entertaining and arguably definitive book on the past present and future of the NBA. Covers the history of the NBA ranking players teams and moments with signature wit and pop culture references.,N/A,New York,Biography; History; Culture
The Jordan Rules: The Inside Story of One Turbulent Season with Michael Jordan and the Chicago Bulls,Sam Smith,4.3,2800+,March 1 1992,Paperback/Kindle,https://www.amazon.com/Jordan-Rules-Inside-Turbulent-Chicago/dp/0671796100,Bulls/Jordan,Behind-the-scenes look at Michael Jordan's leadership and the Bulls' championship 1991-92 season. Sam Smith had unlimited access to the team revealing the inner workings of the Bulls dynasty.,Michael Jordan,Bulls; Kings; Chicago,Biography; History; Coaching; Championship
Dream Team: How Michael Magic Larry Charles and the Greatest Team of All Time Conquered the World,Jack McCallum,4.5,2100+,June 26 2012,Paperback/Kindle,https://www.amazon.com/Dream-Team-Greatest-Conquered-Basketball/dp/0345520483,Olympic Basketball,NEW YORK TIMES BESTSELLER - The definitive account of the 1992 U.S. Olympic Men's Basketball Team. McCallum provides behind-the-scenes stories from Barcelona and interviews with all the legendary players.,N/A,Magic; Dream Team; New York,International
Eleven Rings: The Soul of Success,Phil Jackson,4.2,4500+,May 21 2013,Paperback/Kindle,https://www.amazon.com/Eleven-Rings-Soul-Success/dp/0143125346,Coaching/Leadership,Phil Jackson reflects on his record-setting eleven NBA championships revealing his secrets on leadership mindfulness and team chemistry with the Bulls and Lakers.,Phil Jackson,Lakers; Bulls,Coaching; Championship
When the Game Was Ours,Larry Bird and Magic Johnson,4.6,1900+,October 26 2009,Paperback/Kindle,https://www.amazon.com/When-Game-Was-Ours/dp/0547394586,Player Biography,Basketball legends Larry Bird and Magic Johnson reminisce about their storied rivalry and friendship offering a firsthand account of one of the NBA's greatest eras.,Magic Johnson; Larry Bird,Magic,Biography; History; Championship; Rivalry
The Mamba Mentality: How I Play,Kobe Bryant,4.8,12000+,October 23 2018,Hardcover/Kindle,https://www.amazon.com/Mamba-Mentality-How-Play/dp/0374201234,Player Biography,Kobe Bryant's manifesto laying bare his relentless work ethic competitive spirit and unwavering dedication to self-improvement. Paired with stunning photographs by Andrew D. Bernstein.,Kobe Bryant,N/A,Biography; Championship; Photography
Blood in the Garden: The Flagrant History of the 1990s New York Knicks,Chris Herring,4.6,1500+,January 18 2022,Hardcover/Paperback/Kindle,https://www.amazon.com/Blood-Garden-Flagrant-History-Knicks/dp/1982132116,Team History,INSTANT NEW YORK TIMES BESTSELLER - The definitive history of the 1990s New York Knicks through original reporting and interviews with more than two hundred people.,N/A,Knicks; New York,Biography; History; Championship
Giannis: The Improbable Rise of an NBA MVP,Mirin Fader,4.8,1200+,August 10 2021,Hardcover/Paperback/Kindle,https://www.amazon.com/Giannis-Improbable-Rise-NBA-MVP/dp/0306924129,Player Biography,NEW YORK TIMES BESTSELLER - A nuanced detailed revealing portrait of Giannis Antetokounmpo. Vivid writing and meticulous reporting trace his journey from Athens to NBA superstardom.,Giannis Antetokounmpo,New York,Biography
Three-Ring Circus: Kobe Shaq Phil and the Crazy Years of the Lakers Dynasty,Jeff Pearlman,4.3,1800+,September 29 2020,Hardcover/Paperback/Kindle,https://www.amazon.com/Three-Ring-Circus-Crazy-Lakers-Dynasty/dp/1328530000,Team History,A rollicking deep dive into the fraught yet successful Shaq-Kobe pairing that led the Lakers to three straight championships. Exhaustively reported and unsparing portrait.,N/A,Lakers,Biography; History; Championship
Showtime: Magic Kareem Riley and the Los Angeles Lakers Dynasty of the 1980s,Jeff Pearlman,4.5,1400+,January 7 2014,Paperback/Kindle,https://www.amazon.com/Showtime-Kareem-Riley-Angeles-Dynasty/dp/1592408869,Team History,NEW YORK TIMES BESTSELLING - The first all-encompassing account of the 1980s Los Angeles Lakers. Adapted into HBO's Winning Time series.,N/A,Lakers; Magic; Los Angeles; New York,Biography; History
The Midrange Theory: Basketball's Evolution in the Age of Analytics,Seth Partnow,4.4,450+,November 16 2021,Hardcover/Paperback,https://www.amazon.com/Midrange-Theory-Seth-Partnow/dp/1629379212,Analytics/Strategy,Seth Partnow explains how numbers have affected the modern NBA game. Former Director of Basketball Research for the Milwaukee Bucks explores where the NBA is now and where it's going.,N/A,Bucks; Milwaukee,Analytics; Coaching
Sprawlball: A Visual Tour of the New Era of the NBA,Kirk Goldsberry,4.5,600+,April 2 2019,Hardcover/Paperback,https://www.amazon.com/SprawlBall-Visual-Tour-New-Era/dp/1328767515,Analytics/Strategy,A visual tour of the new era of the NBA using data visualization to explain how the three-point revolution has transformed basketball.,N/A,N/A,History; Analytics; Coaching; Photography
Hoop Atlas: Mapping the Remarkable Transformation of the Modern NBA,Kirk Goldsberry,4.6,350+,November 7 2023,Hardcover,https://www.amazon.com/Hoop-Atlas-Mapping-Remarkable-Transformation/dp/0063329638,Analytics/Strategy,Goldsberry outlines how basketball got here and where it's going next through vivid detail and innovative data visualizations.,N/A,N/A,Analytics; Coaching; Photography
Sacred Hoops: Spiritual Lessons of a Hardwood Warrior,Phil Jackson,4.3,1100+,September 23 1995,Paperback/Kindle,https://www.amazon.com/Sacred-Hoops-Spiritual-Lessons-Hardwood/dp/1401308813,Coaching/Leadership,Phil Jackson's modern classic of motivation teamwork and Zen insight. Discusses his approach to coaching the Bulls and his philosophy.,Phil Jackson,Bulls,Coaching
Michael Jordan: The Life,Roland Lazenby,4.4,1600+,May 6 2014,Hardcover/Paperback/Kindle,https://www.amazon.com/Michael-Jordan-Life-Roland-Lazenby/dp/0316194778,Player Biography,The definitive biography tracing Jordan's rise from North Carolina to becoming one of the most influential athletes in history.,Michael Jordan,N/A,Biography; History
